chunk_id,source,page,chunk_length,chunk_text
0,WhizAaru_1_part (1).pdf,2,796,Whizrobo – 4th Generation Self-learning Platform Table of Contents 1. Introduction 2. Application Scenarios 3. Operating Environment 4. Robot Overview 5. Physical Characteristics 5.1 Dimensions and Weight 5.2 Placement and Stability 6. Power and Startup 6.1 Power Connection 6.2 Startup Process 6.3 Shutdown Procedure 7. Interaction Methods 7.1 Touch Interaction 7.2 Voice Interaction 7.3 Visual Interaction 8. Functional Modes 8.1 Reception Mode 8.2 Information and Learning Mode 8.3 Voice Interaction Mode 8.4 Multimedia Playback Mode 8.5 Dance and Performance Mode • Safety Requirements 8.6 Assisted Movement Mode • Operational Guidelines 9. Movement and Navigation Behavior 10. Display and Audio Controls 11. Safety Guidelines 11.1 General Safety 11.2 Child Safety 11.3 Electrical Safety 11.4
1,WhizAaru_1_part (1).pdf,2,460,10. Display and Audio Controls 11. Safety Guidelines 11.1 General Safety 11.2 Child Safety 11.3 Electrical Safety 11.4 Operational Safety 12. Maintenance and Care 12.1 Cleaning 12.2 Routine Inspection 13. Noise and Environmental Considerations 14. Operational Limitations 15. Storage and Handling 16. Basic Specifications 16.1 General 16.2 Physical Characteristics 16.3 Display and Interaction 16.4 Audio and Visual System 16.5 Mobility and Motion 16.6 Sensors
2,WhizAaru_1_part (1).pdf,3,798,"Whizrobo – 4th Generation Self-learning Platform 16.7 Power 16.8 Environmental Requirements 17. Conclusion 1. Introduction WhizAaru™ is an indoor interactive robot designed to support greeting, guided interaction, educational engagement, and multimedia presentation in structured environments. The robot combines intuitive interaction, controlled mobility, and expre ssive behavior to enhance engagement in shared indoor spaces. WhizAaru™ is engineered for consistent performance, safe human interaction, and ease of operation across institutional and professional settings. 2. Application Scenarios WhizAaru™ is suitable for deployment in:  Educational institutions and learning laboratories  Office reception and visitor assistance areas  Exhibition halls and demonstration spaces  Libraries,"
3,WhizAaru_1_part (1).pdf,3,625,"laboratories  Office reception and visitor assistance areas  Exhibition halls and demonstration spaces  Libraries, museums, and innovation centers  Indoor public engagement and presentation zones The robot complements human staff and structured programs by providing interactive support and guided experiences. 3. Operating Environment For reliable performance and safe operation, WhizAaru™ should be used under the following conditions:  Indoor environments only  Flat, stable flooring without steps or ramps  Dry surroundings with no exposure to liquids  Adequate ambient lighting  Moderate background noise levels"
4,WhizAaru_1_part (1).pdf,4,799,"Whizrobo – 4th Generation Self-learning Platform Operation outside these conditions may affect performance or safety. 4. Robot Overview WhizAaru™ features an integrated design consisting of:  A front-facing touch-enabled interactive display  Camera and microphone system for interaction  Integrated speakers for audio output  Sensors for human presence and proximity awareness  A wheeled base enabling smoot h indoor movement The robot is optimized for low -speed, predictable motion suitable for shared spaces. 5. Physical Characteristics 5.1 Dimensions and Weight  Overall Height: Approximately 80–90 cm  Base Footprint: Compact base suitable for standard indoor pathways  Approximate Weight: 18–22 kg (configuration dependent) The robot is designed with a low center of gravity to enhance"
5,WhizAaru_1_part (1).pdf,4,542," Approximate Weight: 18–22 kg (configuration dependent) The robot is designed with a low center of gravity to enhance stability during operation. 5.2 Placement and Stability  Place the robot on a flat, level surface  Maintain sufficient clearance around the base  Avoid narrow, cluttered, or congested areas The robot should not be lifted or carried manually by a single person. 6. Power and Startup 6.1 Power Connection  Connect the robot to the designated power source  Ensure the power cable is secured and does not obstruct movement"
6,WhizAaru_1_part (1).pdf,5,797,Whizrobo – 4th Generation Self-learning Platform The robot powers on automatically once connected. 6.2 Startup Process  Allow the system to complete initialization  Do not interact with or move the robot during startup 6.3 Shutdown Procedure  Use the on-screen shutdown option when available  Disconnect power only after the robot has stopped all movement 7. Interaction Methods 7.1 Touch Interaction The primary interaction method is the touch display:  Tap icons and on-screen elements gently  Avoid excessive pressure or sharp objects 7.2 Voice Interaction WhizAaru™ supports spoken interaction:  Speak clearly at a natural volume  Maintain a reasonable distance from the robot Voice interaction performance may vary depending on ambient noise and speech clarity. 7.3 Visual Interaction
7,WhizAaru_1_part (1).pdf,5,271,"the robot Voice interaction performance may vary depending on ambient noise and speech clarity. 7.3 Visual Interaction On-screen animations, prompts, and expressions guide users through interactions and indicate system states such as listening, processing, or responding."
8,WhizAaru_1_part (1).pdf,6,773,"Whizrobo – 4th Generation Self-learning Platform 8. Functional Modes 8.1 Reception Mode Reception Mode enables WhizAaru™ to:  Detect approaching users  Display greeting messages  Provide guided interaction options This mode is well suited for entrances, information desks, and demonstration areas. 8.2 Information and Learning Mode In this mode, WhizAaru™:  Presents structured educational or informational content  Displays images, videos, and guided explanations  Supports interactive learning sessions Content should be reviewed and approved before deployment. 8.3 Voice Interaction Mode Voice Interaction Mode allows users to:  Ask questions  Request information  Navigate available content Responses are delivered through spoken output and on -screen display."
9,WhizAaru_1_part (1).pdf,7,794,Whizrobo – 4th Generation Self-learning Platform 8.4 Multimedia Playback Mode WhizAaru™ supports multimedia playback for:  Presentations  Demonstrations  Educational and promotional content Audio and visual settings can be adjusted to suit the surrounding environment. 8.5 Dance and Performance Mode This mode enables WhizAaru™ to perform pre -programmed expressive movements. Safety Requirements  Maintain a clear area around the robot  Do not operate in crowded or confined spaces  Supervise children closely  Ensure no obstacles are present during operation 8.6 Assisted Movement Mode Assisted Movement Mode allows controlled movement under supervisio n. Operational Guidelines  Ensure the intended path is clear  Monitor movement continuously  Stop operation immediately if unsafe
